Departamento ;Municipio;Agencia_Organizacion;Institucion_donde_se_entrega;Nombre_institucion;Insumo;Unidad_de_medidad; Cantidad_personas ;Disponible ;Entregado;Fecha_de_entrega
Arauca ;Arauquita;OIM;Institución Pública;Secretaría de Salud Municipal;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Arauca ;Tame;OIM;Hospital;Hospital San Antonio de Tame ;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
Arauca ;Tame;OIM;Institución Pública;Alcaldía municipal de Tame - Bienestar Social ;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Atlántico;Barranquilla;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;200;No;Si;Abril
Atlántico;Barranquilla;OIM;Hospital;MiRed IPS;Mascarillas quirúrgicas;unidades;1400;No;Si;Abril
Atlántico;Barranquilla;OIM;Institución Pública;Secretaría de Salud- Oficina Salud Pública ;Mascarillas quirúrgicas;unidades;1100;No;Si;Abril
Atlántico;Barranquilla;OIM;Hospital Materno Infantil de Soledad- ;;Disposición y dotación (carpas 4x4) para entregar a los hospitales para disposición de zona de triage respiratorio.;;4;No;No;Mayo
Atlántico;Barranquilla- Soledad;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
Atlántico;Soledad;OIM;Institución Pública;Hospital Materno Infantil de Soledad;Mascarillas quirúrgicas;unidades;1400;No;Si;Abril
Atlántico;Soledad;OIM;;Secretaría de Salud- Oficina Salud Pública ;Mascarillas quirúrgicas;unidades;1400;No;Si;Abril
Atlántico ;Soledad;OIM;Secretaria de Salud de Soledad ;;Disposición y dotación (carpas 6x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;5;No;No;Mayo
Bogotá D.C.;Bogotá ;OIM;Comunidad;Comunidad ;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Bogotá D.C.;Bogotá ;OIM;Hospital;Subred Integrada de Servicios de Salud Centro Oriente (Usuarios de asistencial). ;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
Bogotá D.C.;Bogotá ;OIM;;Subred Integrada de Servicios de Salud Centro Oriente (usuarios PIC).;Mascarillas quirúrgicas;unidades;600;No;Si;Abril
Bolívar;Cartagena;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;2300;No;Si;Abril
Bolívar;Cartagena;OIM;Hospital;Departamento Administartivo Distrital de salud  DADIS ;Mascarillas quirúrgicas;unidades;4000;No;Si;Abril
Bolívar;Cartagena;OIM;Hospital Infantil Napoleón Franco pareja ;;Disposición y dotación (carpas 4x4) para entregar a los hospitales para disposición de zona de triage respiratorio.;;6;No;No;Mayo
Bolívar ;Cartagena;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;200;No;Si;Abril
Caquetá ;La Montañita;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Caquetá ;La Montañita;OIM;;ETCR Agua Bonita 2;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Caquetá ;La Montañita;OIM;Hospital;Centro de Salud la Montañita y ;Mascarillas quirúrgicas;unidades;350;No;Si;Abril
Caquetá ;San Vicente del Caguán;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Caquetá ;San Vicente del Caguán;OIM;Comunidad;ETCR Vereda Miravalle;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Caquetá ;San Vicente del Caguán;OIM;Comunidad;UAIC - Vereda Guacamayas;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Caquetá ;San Vicente del Caguán;OIM;Hospital;E.S.E. Hospital San Rafael;Mascarillas quirúrgicas;unidades;250;No;Si;Abril
Caquetá ;San Vicente del Caguán;OIM;Institución Pública;Alcaldia San Vicente del Caguan;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Caquetá ;San Vicente del Caguán, La Montañita;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;100;No;Si;Abril
Casanare;Yopal;OIM;Institución Pública;Secretaría de Salud Municipal;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
Cauca;Buenos Aires;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Cauca;Buenos Aires;OIM;Hospital;E.S.E Norte Uno , Punto de atención Buenos Aires;Mascarillas quirúrgicas;unidades;450;No;Si;Abril
Cauca;Caldono;OIM;Hospital;E.S.E Popayán;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Cauca;Caldono, Patía, Buenos Aires, Miranda;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;200;No;Si;Abril
Cauca;Miranda;OIM;Hospital;E.S.E Norte 2 - Punto de atención Miranda;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Cauca;Patía;OIM;Hospital;E.S.E Hospital el Bordo;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Cesar;La Paz;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Cesar;La Paz;OIM;;ETCR - UAIC;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Cesar;La Paz;OIM;;Lider comunitario y población General;Mascarillas quirúrgicas;unidades;25;No;Si;Abril
Cesar;La Paz;OIM;Hospital;Hospital Mariano Zuleta;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Cesar;La Paz;OIM;Institución Pública;Secretaría Local de Salud;Mascarillas quirúrgicas;unidades;25;No;Si;Abril
Cesar;Valledupar;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
Cesar;Valledupar;OIM;Comunidad;Líderes comunitarios Red de Vigilancia ;Mascarillas quirúrgicas;unidades;450;No;Si;Abril
Cesar;Valledupar;OIM;Comunidad;Taxistas, mototaxistas, domiciliarios.;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Cesar;Valledupar;OIM;Hospital;Hospital Eduardo Arredondo Daza;Mascarillas quirúrgicas;unidades;1500;No;Si;Abril
Cesar;Valledupar;OIM;Hospital;Hospital Rosario Pumarejo de López;Mascarillas quirúrgicas;unidades;1500;No;Si;Abril
Cesar;Valledupar;OIM;Institución Pública;Secretaría de Salud Departamental;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Cesar;Valledupar;OIM;Institución Pública;Secretaría de Salud Municipal;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
Cesar ;Valledupar;OIM;Hospital Eduardo Arredondo Daza;;Disposición y dotación (carpas 6x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;5;No;No;Mayo
Cesar ;Valledupar, La Paz;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;250;No;Si;Abril
Chocó;Quibdó;OIM;Institución Pública;Dirección Local de Salud;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
Chocó;Riosucio;OIM;Comunidad;ETCR;Mascarillas quirúrgicas;unidades;150;No;Si;Abril
Chocó;Riosucio;OIM;Hospital;IPS Servimédico;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Chocó;Riosucio;OIM;Institución Pública;Secretaría de Salud Municipal;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Córdoba;Tierralta;OIM;Hospital;E.S.E. Hospital San José;Mascarillas quirúrgicas;unidades;250;No;Si;Abril
Córdoba;Tierralta;OIM;Institución Pública;Dirección Local de Salud;Mascarillas quirúrgicas;unidades;250;No;Si;Abril
Córdoba;Tierralta;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;50;No;Si;Abril
Cundinamarca;Bogotá;OIM;Subred Centro Oriente -CAPS Samper Mendoza;;Disposición y dotación (carpas 4x4) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;Si;Si;Mayo
Cundinamarca;Bogotá;OIM;Cancillería;;Volante;;1250000;Si;Si;Marzo
Cundinamarca;Bogotá, Soacha, Chía;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;400;No;Si;Abril
Cundinamarca;Chía ;OIM;Comunidad;Comunidad ;Mascarillas quirúrgicas;unidades;400;No;Si;Abril
Cundinamarca;Chía ;OIM;Hospital;ESE San Antonio de Chia ;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
Cundinamarca;Chía ;OIM;Institución Pública;Fundasovenex ;Mascarillas quirúrgicas;unidades;200;No;Si;Abril
Cundinamarca;Soacha;OIM;ESE Municipal de Soacha;;Disposición y dotación (carpas 4x4) para entregar a los hospitales para disposición de zona de triage respiratorio.;;2;Si;Si;Mayo
Cundinamarca;Soacha ;OIM;Comunidad;Comunidad ;Mascarillas quirúrgicas;unidades;2500;No;Si;Abril
Cundinamarca;Soacha ;OIM;Hospital;ESE Municipal de Soacha ;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Cundinamarca;Soacha ;OIM;Comunidad;Colombia Nuevos Horizontes ;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Cundinamarca;Soacha ;OIM;Hospital;Hospital Mario Gaitan Yanguas ESE ;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
Cundinamarca ;Chía;OIM;ESE Hospital San Antonio de Chía;;Disposición y dotación (carpas 6x6) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;No;No;Mayo
Guaviare;San José del Guaviare;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Guaviare;San José del Guaviare;OIM;;ETCR Charras;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Guaviare;San José del Guaviare;OIM;;ETCR Colinas;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Guaviare;San José del Guaviare;OIM;;UAIC;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Guaviare;San José del Guaviare;OIM;;UAIC Colinas;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Guaviare;San José del Guaviare;OIM;Hospital;E.S.E UEN San José;Mascarillas quirúrgicas;unidades;600;No;Si;Abril
Guaviare ;San José del Guaviare;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;100;No;Si;Abril
La Guajira;Fonseca;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
La Guajira;Fonseca;OIM;;ETCR;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
La Guajira;Fonseca;OIM;;UAIC;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
La Guajira;Fonseca;OIM;Hospital;E.S.E HOSPITAL SAN AGUSTIN;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
La Guajira;La Guajira;OIM;Institución Pública;SECRETARIA DE SALUD DEPARTAMENTAL DE LA GUAJIRA;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
La Guajira;Maica, Riohacha, Fonseca;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;450;No;Si;Abril
La Guajira;Maicao;OIM;Hospital;ESE HOSPITAL SAN JOSE DE MAICAO;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
La Guajira;Maicao;OIM;Institución Pública;SECRETARIA DE SALUD MAICAO;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
La Guajira;Maicao;OIM;Hospital San José de Maicao;;Disposición y dotación (carpas 6x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;5;No;No;Mayo
La Guajira;Riohacha;OIM;Hospital;ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
La Guajira;Riohacha;OIM;Institución Pública;SECRETARIA DE SALUD RIOHACHA;Mascarillas quirúrgicas;unidades;800;No;Si;Abril
La Guajira;Riohacha;OIM;Hospital Nuestra Señora de los Remedios de Riohacha;;Disposición y dotación (carpas 6x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;4;Si;Si;Mayo
La Guajira;Riohacha y Maicao;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
La Guajira;San Juan del Cesar;OIM;Hospital;ESE SAN RAFAEL II NIVEL DE SAN JUAN DEL CESAR;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
La Guajira;San Juan del Cesar;OIM;Hospital San Rafael de San Juan del Cesar;;Disposición y dotación (carpas 6x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;No;No;Mayo
La Guajira;Uribia;OIM;Hospital;ESE HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
La Guajira;Uribia ;OIM;Hospital Nuestra Señora del Perpetuo Socorro de Uribía;;Disposición y dotación (carpas 6x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;No;No;Mayo
Magdalena;Santa Marta;OIM;Hospital;ESE ALEJANDRO PROSPERO REVEREND,               ;Mascarillas quirúrgicas;unidades;3300;No;Si;Abril
Magdalena;Santa Marta;OIM;Institución Pública;SECRETARIA DE SALUD  DEPARTAMENTAL;Mascarillas quirúrgicas;unidades;1000;No;Si;Abril
Magdalena;Santa Marta;OIM;Institución Pública;SECRETARIA DE SALUD DISTRITAL     ;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
Magdalena;Santa Marta;OIM;Secretaría Deptal de Salud;;Disposición y dotación (carpas 4x4) para entregar a los hospitales para disposición de zona de triage respiratorio.;;4;No;No;Mayo
Magdalena ;Santa Marta;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;200;No;Si;Abril
Magdalena ;Santa Marta);OIM;Secretaría Deptal de Salud;;Disposición y dotación (carpas 6x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;No;No;Mayo
Meta;La Macarena;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Meta;La Macarena;OIM;;ETCR;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Meta;La Macarena;OIM;Hospital;Centro de atención La Macarena;Mascarillas quirúrgicas;unidades;250;No;Si;Abril
Meta;La Macarena;OIM;Institución Pública;Plan de Salud Territorial;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Meta;Mesetas;OIM;Comunidad;ETCR Marina Páez;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Meta;Mesetas;OIM;Hospital;Centro de Atención Salud Mesetas;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Meta;Mesetas;OIM;Institución Pública;Plan Territorial de salud de Mesetas;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Meta;Vistahermosa;OIM;Comunidad;ETCR;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Meta;Vistahermosa;OIM;;UAIC;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Meta;Vistahermosa;OIM;Hospital;Centro de Salud;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Meta;Vistahermosa;OIM;Institución Pública;Plan Salud Territorial;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Meta ;Vistahermosa, La Macarena, Mesetas;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;150;No;Si;Abril
Nariño;Ipiales;OIM;Albergue;Ancianato San Jose;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Nariño;Ipiales;OIM;Hospital;Clinica Las Lajas ;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Nariño;Ipiales;OIM;;Hospital Civil de Ipiales;Mascarillas quirúrgicas;unidades;3000;No;Si;Abril
Nariño;Ipiales;OIM;;IPS Municipal de Ipiales;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
Nariño;Ipiales;OIM;Institución Pública;Secretaria de Salud Municipal;Mascarillas quirúrgicas;unidades;700;No;Si;Abril
Nariño;Ipiales;OIM;Hospital Civil de Ipiales;;Disposición y dotación (carpas 4x4) para entregar a los hospitales para disposición de zona de triage respiratorio.;;5;No;No;Mayo
Nariño;Ipiales, Tumaco, Policarpa;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;500;No;Si;Abril
Nariño;Policarpa;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Nariño;Policarpa;OIM;Hospital;E.S.E Policarpa;Mascarillas quirúrgicas;unidades;450;No;Si;Abril
Nariño;Tumaco;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Nariño;Tumaco;OIM;;ETCR;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Nariño;Tumaco;OIM;Hospital;E.S.E Divino Niño;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Nariño;Tumaco;OIM;Institución Pública;Secretaría de Salud Municipal;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Nariño ;Ipiales);OIM;Hospital Civil de Ipiales;;Disposición y dotación (carpas 6x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;3;No;No;Mayo
Norte de Santander;Cúcuta;OIM;Albergue;Centro del Atencion a Habitante de Calle Departamento Administrativo de Bienestar Social Cucuta ;Mascarillas quirúrgicas;unidades;250;No;Si;Abril
Norte de Santander;Cúcuta;OIM;;Hogar de paso Itzayana;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Norte de Santander;Cúcuta;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;750;No;Si;Abril
Norte de Santander;Cúcuta;OIM;;COMUNIDAD YUKPA JORNADA DE 30 DE MARZO AL 8 DE ABRIL. ;Mascarillas quirúrgicas;unidades;900;No;Si;Abril
Norte de Santander;Cúcuta;OIM;;Comunidad,  gestantes, Familias con COVID;Mascarillas quirúrgicas;unidades;150;No;Si;Abril
Norte de Santander;Cúcuta;OIM;;ORGANIZACIÓN CAPELLANIA OFICA;Mascarillas quirúrgicas;unidades;600;No;Si;Abril
Norte de Santander;Cúcuta;OIM;Hospital;ESE IMSALUD;Mascarillas quirúrgicas;unidades;4000;No;Si;Abril
Norte de Santander;Cúcuta;OIM;Institución Pública;Centro de Restablecimiento penal para menores ICBF - ONG crecer en Familia Centro juvenil Los patios ;Mascarillas quirúrgicas;unidades;200;No;Si;Abril
Norte de Santander;Cúcuta;OIM;;INSTITUTO DEPARTAMENTAL DE SALUD ;Mascarillas quirúrgicas;unidades;400;No;Si;Abril
Norte de Santander;Cúcuta;OIM;;POLICIA NACIONAL;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Norte de Santander;Cúcuta;OIM;;Policia Nacional MECUC -  Antinarcoticos;Mascarillas quirúrgicas;unidades;300;No;Si;Mayo
Norte de Santander;Cúcuta;OIM;IMSALUD;;Disposición y dotación (carpas 4x4) para entregar a los hospitales para disposición de zona de triage respiratorio.;;3;Si;Si;Mayo
Norte de Santander;Cúcuta;OIM;ISABU;;Disposición y dotación (carpas 9x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;No;No;Mayo
Norte de Santander;Cúcuta, Villa del Rosario, Tibú;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;500;No;Si;Abril
Norte de Santander;Tibú;OIM;Comunidad;ETCR Caño;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Norte de Santander;Tibú;OIM;;UAIC;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Norte de Santander;Tibú;OIM;Hospital;E.S.E Regional Norte;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Norte de Santander;Tibú;OIM;;ESE HOSPITAL REGIONAL NORTE;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
Norte de Santander;Tibú;OIM;Institución Pública;Dirección Local de Salud;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;Albergue;CATM;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;;Instituto La Esperanza ;Mascarillas quirúrgicas;unidades;200;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;Comunidad;Iglesia para la Frontera ;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;Hospital;ESE HOSPITAL JORGE CRISTO SAHIUM;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;Institución Pública;Secretaria de salud de Villa del Rosario;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Norte de Santander;Villa del Rosario;OIM;ESE Jorge Cristo Sahium;;Disposición y dotación (carpas 4x4) para entregar a los hospitales para disposición de zona de triage respiratorio.;;4;No;No;Mayo
Pendiente entrega a las instituciones y comunidades;Pendiente entrega a las instituciones y comunidades;OIM;Pendiente entrega a las instituciones y comunidades;Pendiente entrega a las instituciones y comunidades;Batas desechables;unidades;9980;No;Si;Abril
Pendiente entrega a las instituciones y comunidades;Pendiente entrega a las instituciones y comunidades;OIM;;;Gel antibacterial;galones;995;No;Si;Abril
Pendiente entrega a las instituciones y comunidades;Pendiente entrega al territorio;OIM;Pendiente entrega al territorio;Pendiente entrega al territorio;Termómetro láser;unidades;99;No;Si;Abril
Putumayo;Puerto Asís;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Putumayo;Puerto Asís;OIM;;ETCR;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Putumayo;Puerto Asís;OIM;;Guardia Indígena - Comunidad Cabildo Mame Ñata a Umugse - ZIO BAIN;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Putumayo;Puerto Asís;OIM;Institución Pública;Equipo de Gestión del Riesgo;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Putumayo;Puerto Asís;OIM;;Secretaría de Salud Municipal;Mascarillas quirúrgicas;unidades;200;No;Si;Abril
Putumayo;Puerto Asís;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;50;No;Si;Abril
Santander;Bucaramanga;OIM;ISABU;;Disposición y dotación (carpas 4x4) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;No;No;Mayo
Santander ;Bucaramanga;OIM;Albergue;Fundación Hogar Geriátrico Luz de Esperanza;Mascarillas quirúrgicas;unidades;250;No;Si;Abril
Santander ;Bucaramanga;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;400;No;Si;Abril
Santander ;Bucaramanga;OIM;;Comunidad Centro de Salud Café Madrid - Hospital Local del Norte - Tamizajes ESE ISABU;Mascarillas quirúrgicas;unidades;65;No;Si;Abril
Santander ;Bucaramanga;OIM;;Comunidad migrante - Hoteles centro de Bucaramanga;Mascarillas quirúrgicas;unidades;150;No;Si;Abril
Santander ;Bucaramanga;OIM;;Comunidad migrante CASA Cruz Roja;Mascarillas quirúrgicas;unidades;65;No;Si;Abril
Santander ;Bucaramanga;OIM;;Comunidad migrante en condición de calle en el parque del agua;Mascarillas quirúrgicas;unidades;400;No;Si;Abril
Santander ;Bucaramanga;OIM;;Comunidad migrantes en condición de calle en el parque del agua;Mascarillas quirúrgicas;unidades;2800;No;Si;Abril
Santander ;Bucaramanga;OIM;;Madres gestantes y comunidad migrante;Mascarillas quirúrgicas;unidades;70;No;Si;Abril
Santander ;Bucaramanga;OIM;;Migración Colombia - Comunidad migrante;Mascarillas quirúrgicas;unidades;650;No;Si;Abril
Santander ;Bucaramanga;OIM;;Secretaría de Salud de Bucaramanga / Programa de Tuberculosis;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Santander ;Bucaramanga;OIM;Hospital;ESE HUS Hospital Universitario de Santander;Mascarillas quirúrgicas;unidades;2400;No;Si;Abril
Santander ;Bucaramanga;OIM;;ESE ISABU Instituto de Salud de Bucaramanga;Mascarillas quirúrgicas;unidades;2400;No;Si;Abril
Santander ;Bucaramanga;OIM;Institución Pública;Secretaría de Desarrollo Social de la Alcaldía de Bucaramanga;Mascarillas quirúrgicas;unidades;350;No;Si;Abril
Santander ;Bucaramanga;OIM;;Secretaría de Salud de Santander;Mascarillas quirúrgicas;unidades;200;No;Si;Abril
Santander ;Bucaramanga;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;200;No;Si;Abril
Santander ;Bucaramanga;OIM;IMSALUD;;Disposición y dotación (carpas 9x3) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;Si;Si;Mayo
Tolima ;Ibagué;OIM;Institución Pública;Secretaría de Salud Municipal;Mascarillas quirúrgicas;unidades;2000;No;Si;Abril
Tolima ;Icononzo;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Tolima ;Icononzo;OIM;;ETCR La Fila;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Tolima ;Icononzo;OIM;;Vereda El Triunfo;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Tolima ;Icononzo;OIM;Hospital;Hospital Sumapaz;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Tolima ;Icononzo, Planadas;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;100;No;Si;Abril
Tolima ;Planadas;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Tolima ;Planadas;OIM;;ETCR El Oso;Mascarillas quirúrgicas;unidades;150;No;Si;Abril
Tolima ;Planadas;OIM;Hospital;E.S.E Hospital Centro Planadas;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Valle del Cauca;Cali;OIM;Comunidad;Comunidad;Mascarillas quirúrgicas;unidades;4450;No;Si;Abril
Valle del Cauca;Cali;OIM;Hospital;HOSPITAL CARLOS CARMONA;Mascarillas quirúrgicas;unidades;1100;No;Si;Abril
Valle del Cauca;Cali;OIM;;HOSPITAL SAN JUAN DE DIOS;Mascarillas quirúrgicas;unidades;300;No;Si;Abril
Valle del Cauca;Cali;OIM;Institución Pública;ALCALDIA MUNICIPAL DE CALI;Mascarillas quirúrgicas;unidades;500;No;Si;Abril
Valle del Cauca ;Cali;OIM;Pendiente entrega a las instituciones;Pendiente entrega a las instituciones;Protector visual;unidades;200;No;Si;Abril
Valle del Cauca ;Cali);OIM;Red Salud Suroriente;;Disposición y dotación (carpas 6x6) para entregar a los hospitales para disposición de zona de triage respiratorio.;;1;No;No;Mayo
Vichada;Puerto Carreño;OIM;Albergue;Asentamiento indígena La Bloquera;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Vichada;Puerto Carreño;OIM;;Asentamiento Indigena Piedra Custodio sector 1;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Vichada;Puerto Carreño;OIM;;Asentamiento Indigena Piedra Custodio sector 2;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Vichada;Puerto Carreño;OIM;;Asentamiento Indigena Piedra Custodio sector 3;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Vichada;Puerto Carreño;OIM;;Asentamiento Pavoni;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Vichada;Puerto Carreño;OIM;;Asentamientos indígenas Cerro Bandera;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Vichada;Puerto Carreño;OIM;;Asentamientos indígenas Sitio Sagrado;Mascarillas quirúrgicas;unidades;50;No;Si;Abril
Vichada;Puerto Carreño;OIM;Hospital;ESE Hospita San Juan de Dios;Mascarillas quirúrgicas;unidades;1500;No;Si;Abril
Vichada;Puerto Carreño;OIM;Institución Pública;Cárcel Municipal de Puerto Carreño;Mascarillas quirúrgicas;unidades;100;No;Si;Abril
Vichada;Puerto Carreño;OIM;;Secretaria de Desarrollo Social de Puerto Carreño;Mascarillas quirúrgicas;unidades;700;No;Si;Abril
